scope,contrast,metric,effect,ci95_low,ci95_high,exact_p,holm_p,independent_init_groups
synthesis_predictor_by_offset_primary,B1_minus_B0__fixed_medium__offset_0,solver_failure_fraction,-0.000685974065086952,-0.0015600004818308842,-0.00014938314551598224,0.125,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__fixed_medium__offset_0,supervisor_active_fraction,-0.00204585855090265,-0.009325617438145691,0.004781788841139753,0.625,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__fixed_medium__offset_p3,target_clearance_adjusted_completion_delay_s,-0.6500000096857548,-1.1800000175833703,-0.14500000216066838,0.125,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__fixed_medium__offset_p3,min_footprint_separation_m,-0.045653828420082275,-0.12988795361936886,0.022202309940662766,0.375,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__fixed_medium__offset_p3,solver_failure_fraction,0.000886988812368408,0.00022986440248630758,0.0014823971363067188,0.125,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__fixed_medium__offset_p3,supervisor_active_fraction,0.005524698775181028,0.0016427424069603027,0.009763047129474959,0.125,1.0,5
synthesis_predictor_pooled_primary,B1_minus_B0__adaptive__all_offsets,target_clearance_adjusted_completion_delay_s,-0.33666667168339093,-0.6650000099092722,0.015000000223517416,0.25,1.0,5
synthesis_predictor_pooled_primary,B1_minus_B0__adaptive__all_offsets,min_footprint_separation_m,-0.03549844344500229,-0.14450381016726127,0.0502399849898071,0.6875,1.0,5
synthesis_predictor_pooled_primary,B1_minus_B0__adaptive__all_offsets,solver_failure_fraction,0.0009127482656824722,0.0003640778084990133,0.001482555969226081,0.125,1.0,5
synthesis_predictor_pooled_primary,B1_minus_B0__adaptive__all_offsets,supervisor_active_fraction,0.005219767402092366,-0.0009099965090528907,0.011154845819527491,0.25,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__adaptive__offset_m3,target_clearance_adjusted_completion_delay_s,-0.7500000111758709,-1.545000023022294,-0.04000000059604645,0.1875,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__adaptive__offset_m3,min_footprint_separation_m,-0.16068654426635273,-0.43526334940417605,0.053252949422643955,0.4375,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__adaptive__offset_m3,solver_failure_fraction,0.0,0.0,0.0,1.0,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__adaptive__offset_m3,supervisor_active_fraction,0.011339442873965714,-0.003096723044065719,0.028510997039081054,0.375,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__adaptive__offset_0,target_clearance_adjusted_completion_delay_s,0.10500000156462193,-0.3950000058859587,0.7150000106543303,0.8125,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__adaptive__offset_0,min_footprint_separation_m,-0.02115966825609562,-0.09630977220846017,0.024159021401779925,0.9375,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__adaptive__offset_0,solver_failure_fraction,0.00036283939679596186,-3.4396457905267774e-05,0.0010131423028453533,0.5,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__adaptive__offset_0,supervisor_active_fraction,-0.0009497975222557325,-0.00898024279678276,0.005639263404333605,0.8125,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__adaptive__offset_p3,target_clearance_adjusted_completion_delay_s,-0.36500000543892386,-0.7500000111758709,-0.06500000096857547,0.125,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__adaptive__offset_p3,min_footprint_separation_m,0.07535088218744149,0.01790207786637841,0.11651883888983842,0.125,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__adaptive__offset_p3,solver_failure_fraction,0.002375405400251455,0.0009171056380700114,0.0040852142574124934,0.125,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__adaptive__offset_p3,supervisor_active_fraction,0.005269656854567118,0.001197884458460502,0.00994670565974597,0.125,1.0,5
synthesis_policy_pooled_primary,adaptive_minus_fixed_medium__B1__all_offsets,target_clearance_adjusted_completion_delay_s,-0.06333333427707354,-0.5716666751851639,0.4150000061839819,0.875,1.0,5
synthesis_policy_pooled_primary,adaptive_minus_fixed_medium__B1__all_offsets,min_footprint_separation_m,0.08031736422391643,0.025889666833744968,0.12632207060351164,0.125,1.0,5
synthesis_policy_pooled_primary,adaptive_minus_fixed_medium__B1__all_offsets,solver_failure_fraction,0.0011311914947590741,-0.0002286010290287942,0.0024909840185469425,0.25,1.0,5
synthesis_policy_pooled_primary,adaptive_minus_fixed_medium__B1__all_offsets,supervisor_active_fraction,0.0010292246984164547,-0.002525254265143671,0.004583703661976581,0.625,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B1__offset_m3,target_clearance_adjusted_completion_delay_s,-0.020000000298023225,-0.13000000193715094,0.10500000156462193,0.75,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B1__offset_m3,min_footprint_separation_m,-0.06958217903035172,-0.2145366231736308,0.051756339768764106,0.375,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B1__offset_m3,solver_failure_fraction,0.0,0.0,0.0,1.0,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B1__offset_m3,supervisor_active_fraction,-0.0009417959842138058,-0.006863824552301068,0.0032556693301022065,0.875,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B1__offset_0,target_clearance_adjusted_completion_delay_s,-0.38000000566244124,-1.08500001616776,0.3250000048428774,0.4375,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B1__offset_0,min_footprint_separation_m,0.0031947101601471294,-0.004866011943527382,0.012234220064244083,0.75,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B1__offset_0,solver_failure_fraction,0.000162748578155948,-8.561231393846986e-05,0.0004111094702503659,0.5,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B1__offset_0,supervisor_active_fraction,0.0036616760365316887,-0.005703150523778422,0.013257530716666854,0.4375,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B1__offset_p3,target_clearance_adjusted_completion_delay_s,0.21000000312924386,-0.8300000123679638,1.415000021085143,0.8125,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B1__offset_p3,min_footprint_separation_m,0.3073395615419539,0.1271267801118509,0.49336292530686465,0.125,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B1__offset_p3,solver_failure_fraction,0.003230825906121274,-0.000606255881855601,0.00706790769409815,0.25,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B1__offset_p3,supervisor_active_fraction,0.000367794042931481,-0.0091323315962165,0.009867919682079462,1.0,1.0,5
synthesis_policy_pooled_primary,adaptive_minus_fixed_medium__B0__all_offsets,target_clearance_adjusted_completion_delay_s,-0.09666666810711225,-0.7016666771223148,0.34833333852390447,0.9375,1.0,5
synthesis_policy_pooled_primary,adaptive_minus_fixed_medium__B0__all_offsets,min_footprint_separation_m,0.04646430824102234,0.005570877169811394,0.08904061464084799,0.125,1.0,5
synthesis_policy_pooled_primary,adaptive_minus_fixed_medium__B0__all_offsets,solver_failure_fraction,0.0002854481448370872,-0.0011728399910833282,0.0017979591771975368,0.75,1.0,5
synthesis_policy_pooled_primary,adaptive_minus_fixed_medium__B0__all_offsets,supervisor_active_fraction,0.0007653354118936213,-0.0028556777027921353,0.005834312785978146,1.0,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_m3,target_clearance_adjusted_completion_delay_s,-0.02500000037252903,-0.29500000439584256,0.21500000320374965,0.8125,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_m3,min_footprint_separation_m,-0.030140204337182487,-0.07251210969793301,-0.002765340288656204,0.125,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_m3,solver_failure_fraction,0.0,0.0,0.0,1.0,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_m3,supervisor_active_fraction,-0.0008924447357492981,-0.0047260928022580225,0.003028197839516145,0.6875,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_0,target_clearance_adjusted_completion_delay_s,-0.19000000283122062,-0.37500000558793545,-0.005000000074505806,0.25,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_0,min_footprint_separation_m,-0.016801721874180643,-0.032408672789222256,-0.0012952437682244966,0.1875,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_0,solver_failure_fraction,-0.0008860648837269658,-0.0018854216415259445,3.9849138854807736e-05,0.375,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_0,supervisor_active_fraction,0.002565615007884771,0.00037782304306129553,0.0052941652415079725,0.125,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_p3,target_clearance_adjusted_completion_delay_s,-0.07500000111758709,-1.6900000251829623,1.0650000158697366,1.0,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_p3,min_footprint_separation_m,0.18633485093443014,0.06208928684236568,0.31058041502649464,0.125,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_p3,solver_failure_fraction,0.0017424093182382273,-0.002204087751327224,0.005688906387803679,0.625,1.0,5
synthesis_policy_by_offset_primary,adaptive_minus_fixed_medium__B0__offset_p3,supervisor_active_fraction,0.0006228359635453914,-0.00875635502914932,0.014617469074862988,1.0,1.0,5
synthesis_offset_primary,offset_0_minus_m3__B1__fixed_medium,target_clearance_adjusted_completion_delay_s,0.29500000439584256,-0.360000005364418,0.9700000144541263,0.5,1.0,5
synthesis_offset_primary,offset_0_minus_m3__B1__fixed_medium,min_footprint_separation_m,0.09478339207289839,0.04052767444067146,0.15031388273423169,0.0625,1.0,5
synthesis_offset_primary,offset_0_minus_m3__B1__fixed_medium,solver_failure_fraction,0.003903270361836287,0.0018007981534407334,0.005551097837508988,0.125,1.0,5
synthesis_offset_primary,offset_0_minus_m3__B1__fixed_medium,supervisor_active_fraction,-0.036797602248871554,-0.05358504753952041,-0.017974027735506555,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_0__B1__fixed_medium,target_clearance_adjusted_completion_delay_s,-0.515000007674098,-0.9050000134855509,0.06500000096857547,0.1875,1.0,5
synthesis_offset_primary,offset_p3_minus_0__B1__fixed_medium,min_footprint_separation_m,0.42451007051746403,0.2842845034120204,0.5935910344644354,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_0__B1__fixed_medium,solver_failure_fraction,0.016638033740258844,0.011983370595700229,0.021919457674418462,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_0__B1__fixed_medium,supervisor_active_fraction,-0.03390281931863802,-0.04213387659253699,-0.025671762044739043,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_m3__B1__fixed_medium,target_clearance_adjusted_completion_delay_s,-0.22000000327825547,-0.9900000147521496,0.5500000081956387,0.6875,1.0,5
synthesis_offset_primary,offset_p3_minus_m3__B1__fixed_medium,min_footprint_separation_m,0.5192934625903625,0.34150810901676837,0.7018565354429658,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_m3__B1__fixed_medium,solver_failure_fraction,0.02054130410209513,0.015350491849656145,0.02686503218736721,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_m3__B1__fixed_medium,supervisor_active_fraction,-0.07070042156750958,-0.08596033337271772,-0.05420578618711371,0.0625,1.0,5
synthesis_offset_primary,offset_0_minus_m3__B1__adaptive,target_clearance_adjusted_completion_delay_s,-0.06500000096857547,-0.2550000037997961,0.180000002682209,0.6875,1.0,5
synthesis_offset_primary,offset_0_minus_m3__B1__adaptive,min_footprint_separation_m,0.16756028126339723,0.013794267093917378,0.350304552867418,0.1875,1.0,5
synthesis_offset_primary,offset_0_minus_m3__B1__adaptive,solver_failure_fraction,0.0040660189399922345,0.0018932379384878288,0.005592513627931447,0.125,1.0,5
synthesis_offset_primary,offset_0_minus_m3__B1__adaptive,supervisor_active_fraction,-0.03219413022812606,-0.04311828688690319,-0.023717529055709195,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_0__B1__adaptive,target_clearance_adjusted_completion_delay_s,0.07500000111758709,-1.1550000172108412,1.5550000231713057,0.8125,1.0,5
synthesis_offset_primary,offset_p3_minus_0__B1__adaptive,min_footprint_separation_m,0.7286549218992707,0.41154134988398344,1.0571750029869507,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_0__B1__adaptive,solver_failure_fraction,0.019706111068224168,0.015523763150178277,0.023611142174395368,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_0__B1__adaptive,supervisor_active_fraction,-0.03719670131223822,-0.05244821925581654,-0.021945183368659905,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_m3__B1__adaptive,target_clearance_adjusted_completion_delay_s,0.010000000149011612,-1.055000015720725,1.4800000220537186,0.9375,1.0,5
synthesis_offset_primary,offset_p3_minus_m3__B1__adaptive,min_footprint_separation_m,0.896215203162668,0.45445175079208566,1.3379786555332505,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_m3__B1__adaptive,solver_failure_fraction,0.023772130008216406,0.01806263116116785,0.02898625294895752,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_m3__B1__adaptive,supervisor_active_fraction,-0.06939083154036428,-0.09359733136829959,-0.04654404547348534,0.0625,1.0,5
synthesis_offset_primary,offset_0_minus_m3__B0__fixed_medium,target_clearance_adjusted_completion_delay_s,-0.7550000112503767,-1.5800000235438347,0.005000000074505806,0.1875,1.0,5
synthesis_offset_primary,offset_0_minus_m3__B0__fixed_medium,min_footprint_separation_m,0.014694922790138265,-0.13516292196060745,0.11329748229091316,0.9375,1.0,5
synthesis_offset_primary,offset_0_minus_m3__B0__fixed_medium,solver_failure_fraction,0.004589244426923239,0.0022491218936322973,0.0064887913151199005,0.125,1.0,5
synthesis_offset_primary,offset_0_minus_m3__B0__fixed_medium,supervisor_active_fraction,-0.023362949575538684,-0.03646165560244805,-0.009121311720175227,0.125,1.0,5
synthesis_offset_primary,offset_p3_minus_0__B0__fixed_medium,target_clearance_adjusted_completion_delay_s,0.4300000064074993,-0.5750000085681677,1.440000021457672,0.5625,1.0,5
synthesis_offset_primary,offset_p3_minus_0__B0__fixed_medium,min_footprint_separation_m,0.42900779864712285,0.2715912109650964,0.595861024612798,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_0__B0__fixed_medium,solver_failure_fraction,0.015065070862803485,0.009849851855273106,0.021236324334319583,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_0__B0__fixed_medium,supervisor_active_fraction,-0.04147337664472169,-0.04563172980285209,-0.035404322691772606,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_m3__B0__fixed_medium,target_clearance_adjusted_completion_delay_s,-0.3250000048428774,-1.805000026896596,1.2100000180304051,0.75,1.0,5
synthesis_offset_primary,offset_p3_minus_m3__B0__fixed_medium,min_footprint_separation_m,0.4437027214372612,0.32436854079801536,0.549660335556685,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_m3__B0__fixed_medium,solver_failure_fraction,0.019654315289726724,0.013997642897003542,0.02671005194891498,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_m3__B0__fixed_medium,supervisor_active_fraction,-0.06483632622026038,-0.08162165875383494,-0.04805099368668582,0.0625,1.0,5
synthesis_offset_primary,offset_0_minus_m3__B0__adaptive,target_clearance_adjusted_completion_delay_s,-0.9200000137090683,-1.595000023767352,-0.23000000342726706,0.125,1.0,5
synthesis_offset_primary,offset_0_minus_m3__B0__adaptive,min_footprint_separation_m,0.02803340525314011,-0.0885935639984516,0.12163473702261418,0.75,1.0,5
synthesis_offset_primary,offset_0_minus_m3__B0__adaptive,solver_failure_fraction,0.0037031795431962727,0.001847965183309016,0.004647620174297094,0.125,1.0,5
synthesis_offset_primary,offset_0_minus_m3__B0__adaptive,supervisor_active_fraction,-0.019904889831904613,-0.034604024501269495,-0.005205755162539735,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_0__B0__adaptive,target_clearance_adjusted_completion_delay_s,0.5450000081211328,-0.26500000394880774,1.570000023394823,0.4375,1.0,5
synthesis_offset_primary,offset_p3_minus_0__B0__adaptive,min_footprint_separation_m,0.6321443714557337,0.3911591004253617,0.8731562665787113,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_0__B0__adaptive,solver_failure_fraction,0.017693545064768675,0.013554852228998188,0.022119737900363763,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_0__B0__adaptive,supervisor_active_fraction,-0.04341615568906108,-0.052839334575009556,-0.03241808760709238,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_m3__B0__adaptive,target_clearance_adjusted_completion_delay_s,-0.37500000558793545,-1.2050000179558993,0.45500000678002833,0.4375,1.0,5
synthesis_offset_primary,offset_p3_minus_m3__B0__adaptive,min_footprint_separation_m,0.6601777767088738,0.43130237353509937,0.8844687574157556,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_m3__B0__adaptive,solver_failure_fraction,0.02139672460796495,0.01539612207026803,0.02662315703243029,0.0625,1.0,5
synthesis_offset_primary,offset_p3_minus_m3__B0__adaptive,supervisor_active_fraction,-0.0633210455209657,-0.07639556563270629,-0.05005237491797904,0.0625,1.0,5
