run,difficulty,arm,gate_status,solver_failure_frac,feasibility_percent,infeasible_steps_logged,dominant_infeasible_phase,final_safety_interpretation
fine target-speed sweep,target_speed_9p0,smpc_fixed_conservative,PASS,0.00966183574879227,0.9903381642512077,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
fine target-speed sweep,target_speed_9p0,smpc_adaptive_floor_weak,PASS,0.00975609756097561,0.9902439024390244,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
fine target-speed sweep,target_speed_9p2,smpc_fixed_aggressive,PASS,0.009569377990430622,0.9904306220095693,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
fine target-speed sweep,target_speed_9p2,smpc_fixed_medium,PASS,0.009615384615384616,0.9903846153846154,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
fine target-speed sweep,target_speed_9p2,smpc_fixed_conservative,PASS,0.00975609756097561,0.9902439024390244,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
fine target-speed sweep,target_speed_9p2,smpc_adaptive_floor_weak,PASS,0.00909090909090909,0.990909090909091,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
fine target-speed sweep,target_speed_9p4,smpc_fixed_aggressive,PASS,0.00904977375565611,0.9909502262443439,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
fine target-speed sweep,target_speed_9p4,smpc_fixed_medium,PASS,0.008695652173913044,0.991304347826087,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
fine target-speed sweep,target_speed_9p4,smpc_fixed_conservative,PASS,0.00909090909090909,0.990909090909091,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
fine target-speed sweep,target_speed_9p4,smpc_adaptive_floor_weak,PASS,0.00904977375565611,0.9909502262443439,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_m1p5,smpc_adaptive_floor_weak,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_m1p5,smpc_fixed_aggressive,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_m1p5,smpc_fixed_conservative,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_m1p5,smpc_fixed_medium,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_m3p0,smpc_adaptive_floor_weak,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_m3p0,smpc_fixed_aggressive,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_m3p0,smpc_fixed_conservative,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_m3p0,smpc_fixed_medium,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_p0p0,smpc_adaptive_floor_weak,PASS,0.00980392156862745,0.9901960784313726,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_p0p0,smpc_fixed_aggressive,PASS,0.009708737864077669,0.9902912621359223,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_p0p0,smpc_fixed_conservative,PASS,0.00966183574879227,0.9903381642512077,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_p0p0,smpc_fixed_medium,PASS,0.009615384615384616,0.9903846153846154,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_p1p5,smpc_adaptive_floor_weak,PASS,0.020512820512820513,0.9794871794871794,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_p1p5,smpc_fixed_aggressive,PASS,0.013513513513513514,0.9864864864864865,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_p1p5,smpc_fixed_conservative,PASS,0.015873015873015872,0.9841269841269841,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_p1p5,smpc_fixed_medium,PASS,0.015463917525773196,0.9845360824742269,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_p3p0,smpc_adaptive_floor_weak,PASS,0.032407407407407406,0.9675925925925926,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_p3p0,smpc_fixed_aggressive,PASS,0.02631578947368421,0.9736842105263158,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_p3p0,smpc_fixed_conservative,PASS,0.025,0.975,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A1 arrival-gap sweep,arrival_offset_p3p0,smpc_fixed_medium,PASS,0.031413612565445025,0.9685863874345549,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A2 phase ablation,arrival_offset_m3p0,smpc_adaptive_floor_weak,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A2 phase ablation,arrival_offset_m3p0,smpc_adaptive_no_post_relax,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A2 phase ablation,arrival_offset_m3p0,smpc_adaptive_no_preclearance,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A2 phase ablation,arrival_offset_m3p0,smpc_adaptive_phase_blind,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A2 phase ablation,arrival_offset_m3p0,smpc_fixed_aggressive,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A2 phase ablation,arrival_offset_m3p0,smpc_fixed_conservative,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A2 phase ablation,arrival_offset_m3p0,smpc_fixed_medium,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A2 phase ablation,arrival_offset_p3p0,smpc_adaptive_floor_weak,PASS,0.03139013452914798,0.968609865470852,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A2 phase ablation,arrival_offset_p3p0,smpc_adaptive_no_post_relax,PASS,0.03111111111111111,0.9688888888888889,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A2 phase ablation,arrival_offset_p3p0,smpc_adaptive_no_preclearance,PASS,0.0319634703196347,0.9680365296803652,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A2 phase ablation,arrival_offset_p3p0,smpc_adaptive_phase_blind,PASS,0.03482587064676617,0.9651741293532339,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A2 phase ablation,arrival_offset_p3p0,smpc_fixed_aggressive,PASS,0.024509803921568627,0.9754901960784313,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A2 phase ablation,arrival_offset_p3p0,smpc_fixed_conservative,PASS,0.02608695652173913,0.9739130434782609,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A2 phase ablation,arrival_offset_p3p0,smpc_fixed_medium,PASS,0.023346303501945526,0.9766536964980544,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A3 risk-owned-yield,arrival_offset_m3p0,smpc_adaptive_floor_weak,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A3 risk-owned-yield,arrival_offset_m3p0,smpc_fixed_aggressive,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A3 risk-owned-yield,arrival_offset_m3p0,smpc_fixed_conservative,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A3 risk-owned-yield,arrival_offset_m3p0,smpc_fixed_medium,PASS,0.0,1.0,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A3 risk-owned-yield,arrival_offset_p0p0,smpc_adaptive_floor_weak,PASS,0.009523809523809525,0.9904761904761905,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A3 risk-owned-yield,arrival_offset_p0p0,smpc_fixed_aggressive,PASS,0.00975609756097561,0.9902439024390244,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A3 risk-owned-yield,arrival_offset_p0p0,smpc_fixed_conservative,PASS,0.009615384615384616,0.9903846153846154,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A3 risk-owned-yield,arrival_offset_p0p0,smpc_fixed_medium,PASS,0.009569377990430622,0.9904306220095693,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A3 risk-owned-yield,arrival_offset_p3p0,smpc_adaptive_floor_weak,PASS,0.030434782608695653,0.9695652173913043,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A3 risk-owned-yield,arrival_offset_p3p0,smpc_fixed_aggressive,PASS,0.020161290322580645,0.9798387096774194,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A3 risk-owned-yield,arrival_offset_p3p0,smpc_fixed_conservative,PASS,0.028037383177570093,0.9719626168224299,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
A3 risk-owned-yield,arrival_offset_p3p0,smpc_fixed_medium,PASS,0.030303030303030304,0.9696969696969697,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
